StartDateTime,UserId,CallType,disconnectType,Total_Handle_Time,Total_Hold_Time,Total_Talk_Time
26:15.9,b7012e18-db86-4f79-9c20-63f445065951,Inbound_Queue,peer,571.221,0,391.221
26:16.7,80f64b14-0909-446c-b594-47414758f148,Inbound_Queue,peer,1414.031,439.151,823.88
26:21.4,37b61721-f642-4a1c-92e4-5764373107ab,Inbound_Queue,peer,1477.144,0,1297.144
26:41.8,2fdbdbbd-bf46-4ff2-a8d1-082d1edfef81,Inbound_Queue,endpoint,2091.728,145.794,1765.934
27:18.9,99154a69-2c6d-49b4-9778-d91b6cf6b66f,Inbound_Queue,transfer,217.353,0,207.353
27:53.8,eb6e9215-042f-4f5d-9f5e-643f13daad08,Inbound_Queue,peer,877.188,0,868.188
28:18.6,991de021-0e54-4cff-a83d-793551c930d7,Inbound_Queue,peer,231.347,0,51.347
28:54.1,d1cd42d9-cdbb-425b-9c63-4b2de8ecc92f,Inbound_Queue,peer,1208.566,0,1087.566
28:59.0,dc86536f-f5ef-48a9-b9c4-390780f83890,Inbound_Queue,peer,1117.663,165.175,949.785
29:31.9,b8b5a757-7176-499d-b93d-8feebb36c09f,Inbound_Queue,peer,1496.775,2.022,1391.787
29:42.5,bed34990-b428-4868-b4b3-e18e0980dedf,Inbound_Queue,peer,1202.434,450.385,748.537
30:06.9,70cdc787-a19d-4670-95ab-d5ce98e547ae,Inbound_Queue,client,298.927,0,118.927
30:07.9,ffbaedee-9796-469c-89b4-fd22cec5fff7,Inbound_Queue,peer,1164.534,0,1055.534
30:09.4,e0fe5905-960d-46cd-ae8c-5b60b07dd531,Inbound_Queue,peer,1834.031,0,1682.031
30:17.6,730bd0f7-b90b-46dd-b0c5-f310d4e9784a,Inbound_Queue,transfer,252.527,0,72.527
30:20.1,8a1bfa1e-a509-4159-a617-b144da7cde68,Inbound_Queue,peer,383.619,0,203.619
30:40.1,0350e824-4af2-4216-90b4-0d6d6b37b894,Inbound_Queue,peer,269.351,0,89.351
31:18.6,e9d88d3f-b816-407b-be29-e652e1ac8720,Inbound_Queue,peer,226.242,3.385,178.986
31:34.7,1a84cf8f-6efc-4f95-a0bb-89f4d017a800,Inbound_Queue,peer,452.028,0,272.028
31:53.0,3670d403-6e94-4e4a-ac94-918146030f11,Inbound_Queue,peer,1156.234,93.568,1057.933
32:29.8,59f8eea1-fc1a-4435-9cdd-65ebaecf7ada,Inbound_Queue,peer,1810.25,0,1630.25
32:40.3,ce10f099-657a-4707-a80c-a5d10466d0ce,Inbound_Queue,peer,392.066,0,361.066
32:40.9,aa26e2bd-1385-44f0-af87-72d3e32568b4,Inbound_Queue,client,521.272,0,341.272
32:46.5,d47840d9-eaa5-40f6-99f6-c6ee1b1191bd,Inbound_Queue,peer,807.6,0,627.6
34:34.9,0930a290-9492-49fd-98e0-697fe5fbeaaf,Inbound_Queue,peer,556.392,79.505,296.887
34:36.7,99154a69-2c6d-49b4-9778-d91b6cf6b66f,Inbound_Queue,peer,1722.307,539.289,1003.018
34:41.5,ddb87fd3-c224-4e80-b3e8-c3268f123a57,Inbound_Queue,peer,429.414,0,249.414
35:14.7,adf0125d-22ab-480b-9a84-9d7889adb38c,Inbound_Queue,client,1909.875,346.173,1383.702
35:22.2,42c439e6-9c60-48e5-b0a4-46e49c341158,Inbound_Queue,peer,1192.762,0,1012.762
35:29.5,14dfa860-b731-4b36-9e5f-e3da58bfa76f,Inbound_Queue,client,1352.676,0,1172.676
35:55.2,f7f9c471-4578-4226-869b-58f17ffcb657,Inbound_Queue,peer,5406.429,2104.826,3121.603
36:24.0,991de021-0e54-4cff-a83d-793551c930d7,Inbound_Queue,peer,1772.544,0,1592.544
36:42.9,7692606e-6ff5-4d86-9986-3eafe5513617,Inbound_Queue,client,331.261,0,151.261
